,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                    Блок Петра Порошенка ,             Хлань С.В. ,             185 ,    185 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                           Самовисування ,             Негой Ф.Ф. ,             186 ,    186 ,      БПП ,                                 0 ,                                  2 ,                                    1 ,                                      2 ,
,                           Самовисування ,           Мельник С.І. ,             187 ,    187 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,         Шинькович А.В. ,             189 ,    189 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Мацола Р.М. ,             190 ,    190 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,       Мельниченко В.В. ,             193 ,    193 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,             Рудик С.Я. ,             198 ,    198 ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                    Блок Петра Порошенка ,             Рибак І.П. ,             202 ,    202 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,             Тіміш Г.І. ,             203 ,    203 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,     Блок Петра Порошенка «Солідарність» ,         Березенко С.І. ,             205 ,    205 ,      БПП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,           Євлахов А.С. ,             207 ,    207 ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                                  Заступ ,         Давиденко В.М. ,             208 ,    208 ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,         Дмитренко О.М. ,             210 ,    210 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                    Блок Петра Порошенка ,             Ар'єв В.І. ,             218 ,    218 ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,         Третьяков О.Ю. ,             219 ,    219 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,      Андрієвський Д.Й. ,             222 ,    222 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,        Богомолець О.В. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    2 ,                                      8 ,
,                    Блок Петра Порошенка ,          Джемілєв М.М. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,            Мамчур Ю.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Матіос М.В. ,                 ,        ,      БПП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,          Князевич Р.П. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,            Гринів І.О. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,            Продан О.П. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                    Блок Петра Порошенка ,             Новак Н.В. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                    Блок Петра Порошенка ,          Пинзеник В.М. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                    Блок Петра Порошенка ,           Заліщук С.П. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    4 ,                                      8 ,
,                    Блок Петра Порошенка ,           Лещенко С.А. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      8 ,
,                    Блок Петра Порошенка ,             Найєм М.М. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,          Черненко О.М. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Іонова М.М. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,          Палатний А.Л. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,           Романюк Р.С. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,        Заболотний Г.М. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,           Южаніна Н.П. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                    Блок Петра Порошенка ,         Кононенко І.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      7 ,
,                    Блок Петра Порошенка ,              Фріз І.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,           Онуфрик Б.С. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Матвієнко А.С. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,           Павелко А.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,            Король В.М. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      2 ,
,                    Блок Петра Порошенка ,        Паламарчук М.П. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,            Іщенко В.О. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,            Пацкан В.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Антонищак А.Ф. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      2 ,
,                    Блок Петра Порошенка ,        Гончаренко О.О. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      7 ,
,                    Блок Петра Порошенка ,         Козаченко Л.П. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      2 ,
,                    Блок Петра Порошенка ,            Ткачук Г.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,         Герасимов А.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Агафонова Н.В. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,         Денисенко В.І. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,        Тригубенко С.М. ,                 ,        ,      БПП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,          Бєлькова О.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,         Червакова О.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Кобцев М.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      7 ,
,                    Блок Петра Порошенка ,           Загорій Г.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,          Алєксєєв С.О. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,          Чепинога В.М. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,         Бакуменко О.Б. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,       Грановський О.М. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,             Мушак О.П. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,         Брензович В.І. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,         Кудлаєнко С.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,           Матузко О.О. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,          Макар'ян Д.Б. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,             Побер І.М. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,           Куніцин С.В. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      3 ,
,                    Блок Петра Порошенка ,             Лесюк Я.В. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,           Луценко І.С. ,                 ,        ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,           Чубаров Р.А. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,             Шверк Г.А. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,          Севрюков В.В. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,         Бригинець О.М. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,     Білоцерковець Д.О. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,         Карпунцов В.В. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,           Велікін О.М. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,          Саврасов М.В. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,           Білозір О.В. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,            Буглак Ю.О. ,                 ,        ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                  Об'єднання «Самопоміч» ,          Кривенко В.М. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,           Суслова І.М. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      2 ,
,                  Об'єднання «Самопоміч» ,            Кишкар П.М. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,      Немировський А.В. ,                 ,        ,      БПП ,                                 1 ,                                  2 ,                                    2 ,                                      3 ,
,                           Самовисування ,          Мартиняк С.В. ,              20 ,     20 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,            Івахів С.П. ,              21 ,     21 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,          Петьовка В.В. ,              72 ,     72 ,       ВН ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                           Самовисування ,         Богуслаєв В.О. ,              77 ,     77 ,       ВН ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,        Пономарьов О.С. ,              78 ,     78 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,          Бандуров В.В. ,              79 ,     79 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
