,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                           Самовисування ,            Мураєв Є.В. ,             181 ,    181 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Герега О.В. ,             192 ,    192 ,       ПФ ,                                 0 ,                                  0 ,                                    2 ,                                      0 ,
,                    Блок Петра Порошенка ,          Петренко О.М. ,             194 ,    194 ,       ПФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,             Голуб В.В. ,             197 ,    197 ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,          Микитась М.В. ,             206 ,    206 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Береза Б.Ю. ,             213 ,    213 ,       ПФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,             Чумак В.В. ,             214 ,    214 ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                            ВО «Свобода» ,           Іллєнко А.Ю. ,             215 ,    215 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,        Супруненко О.І. ,             216 ,    216 ,       ПФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                           Самовисування ,         Білецький А.Є. ,             217 ,    217 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний Фронт , Константіновський В.Л. ,             220 ,    220 ,       ПФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                            ВО «Свобода» ,          Левченко Ю.В. ,             223 ,    223 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                          Народний Фронт ,           Парубій А.В. ,                 ,        ,       ПФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Геращенко І.В. ,                 ,        ,       ПФ ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                  Об'єднання «Самопоміч» ,             Гопко Г.М. ,                 ,        ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,            Сироїд О.І. ,                 ,        ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Веселова Н.В. ,                 ,        ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,             Єднак О.В. ,                 ,        ,       ПФ ,                                 1 ,                                  1 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,           Пташник В.Ю. ,                 ,        ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                       Радикальна партія ,           Заружко В.Л. ,                 ,        ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        ВО «Батьківщина» ,          Савченко Н.В. ,                 ,        ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                       Радикальна партія ,             Ляшко О.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,           Лозовой А.С. ,                 ,        ,     РПОЛ ,                                 0 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,           Шухевич Ю.Р. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,             Попов І.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,             Вітко А.Л. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,          Мосійчук І.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,           Галасюк В.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,          Ленський О.О. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,         Силантьєв Д.О. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,          Кошелєва А.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,         Купрієнко О.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,         Кириченко О.М. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,     Скуратовський С.І. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,            Лінько Д.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,        Амельченко В.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,           Рибалка С.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,              Вовк В.І. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,        Корчинська О.А. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,           Чижмарь Ю.В. ,                 ,        ,     РПОЛ ,                                 1 ,                                  2 ,                                    1 ,                                      4 ,
,                       Радикальна партія ,           Юзькова Т.Л. ,                 ,        ,     РПОЛ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
